id,title,subTitle,content,addTime,createAt,fee,holders,objectives,branches,tags,seg
badfa9cc-aed2-43df-4d56-08db52fbe02a,第12屆APX全國高中數理能力檢定,第12屆APX全國高中數理能力檢定,檢定分級級別檢定範圍及占分高級A部分，以高一到高三範圍為主，佔100分、B部分，以大學先修範圍為主，佔40分，共140分中高級以高一到高三範圍為主，共100分。中級以高一到高二範圍為主，共100分。初級以高一範圍為主，共100分。分數計算與採計方式(一)初級合格分數標準：「物理科」達50分(含)以上者；「數學科」達50分(含)以上者；「化學科」達60分(含)以上者及「生物科」達60分(含)以上者。合格者可下載初級合格證書。(二)中級合格分數標準：「物理科」達50分(含)以上者；「數學科」達50分(含)以上者；「化學科」達60分(含)以上者及「生物科」達60分(含)以上者。合格者可下載中級合格證書。(三)中高級合格分數標準：A部分：「物理科」達50分(含)以上者；「數學科」達50分(含)以上者；「化學科」達60分(含)以上者及「生物科」達60分(含)以上者。合格者可下載中高級合格證書。(四)高級合格分數標準：應試者除A部分分數達到中高級合格分數標準外，B部分分數須達20分(含)以上者。合格者可下載高級合格證書。,,2023-05-12T15:16:35.3314495,[],[],[],"[{'id': 131, 'branchName': 'General', 'location': [], 'date': []}]","[{'trend': 0, 'tagVoteCount': 0, 'userVoted': False, 'activityAmount': 15, 'id': 7, 'text': '化學', 'type': 'area'}, {'trend': 0, 'tagVoteCount': 0, 'userVoted': False, 'activityAmount': 18, 'id': 11, 'text': '生物', 'type': 'area'}, {'trend': 0, 'tagVoteCount': 0, 'userVoted': False, 'activityAmount': 10, 'id': 12, 'text': '數學', 'type': 'area'}]",檢定 分級 級別 檢定 範圍 占分 部分 高一 高三 範圍 為主 部分 大學 範圍 為主 中高級 高一 高三 範圍 為主 中級 高一 高二 範圍 為主 初級 高一 範圍 為主 分數 計算 採計 方式 初級 合格 分數 標準 物理科 以上 數學科 以上 化學科 以上 生物科 以上 合格 下載 合格 證書 合格 分數 標準 物理科 以上 數學科 以上 化學科 以上 生物科 以上 合格 下載 中級 合格 證書 合格 分數 標準 部分 物理科 以上 數學科 以上 化學科 以上 生物科 以上 合格 下載 中高級 合格 證書 高級 合格 分數 標準 應試 部分 分數 達到 中高級 合格 分數 標準 部分 分數 以上 合格 下載 高級 合格 證書
4625cc40-c153-457e-4d57-08db52fbe02a,青少年帆船2日體驗營,青少年帆船2日體驗營,陽光照耀下海面波光粼粼，徜徉在千變萬化的大海裡，體驗帆船的無限魅力，帶領孩子透過體驗及實務操作，學習帆船相關知識，培養隊員們探索、解決問題及團隊合作的無限潛能，讓我們一起駕馭風帆，享受迎風破浪勇敢航向大海。學習目標【DAY1初步認識帆船運動與基礎操作】認識帆船部件知道方位知道帆船術語能實作帆船結繩能掌舵讓船航行團隊能分工共作學習目標【DAY2能操作重型帆船，發展團隊合作關係】能操作帆船部件理解方位熟悉帆船術語能實作帆船結繩能操作帆讓船航行團隊能分工合作活動場域西子灣（哨船頭遊艇碼頭）安平港（安平漁港遊艇碼頭）興達港（興達港情人碼頭遊艇碼頭）,,2023-05-12T15:16:35.3350269,[],[],[],"[{'id': 132, 'branchName': 'General', 'location': [], 'date': []}]","[{'trend': 0, 'tagVoteCount': 0, 'userVoted': False, 'activityAmount': 15, 'id': 6, 'text': '運動', 'type': 'area'}]",陽光 照耀 海面 波光 粼粼 徜徉 千變萬化 大海 體驗 帆船 無限 魅力 帶領 孩子 體驗 實務 操作 學習 帆船 相關 知識 培養 隊員 探索 解決 問題 團隊 合作 無限 潛能 駕馭 風帆 享受 勇敢 航向 大海 學習 目標 認識 帆船 運動 操作 認識 帆船 部件 知道 方位 知道 帆船 術語 實作 帆船 結繩 掌舵 讓船 航行 團隊 分工 共作 學習 目標 操作 重型 帆船 發展 團隊 合作 關係 操作 帆船 部件 理解 方位 熟悉 帆船 術語 實作 帆船 結繩 操作 帆讓船 航行 團隊 分工合作 活動 場域 西子灣 哨船頭 遊艇 碼頭 安平港 安平 漁港 遊艇 碼頭 興達港 興達港 情人 碼頭 遊艇 碼頭
84841d32-fec3-4f35-4d58-08db52fbe02a,2023 成大觀影腦影像數據分析營 第三期,2023 成大觀影腦影像數據分析營 第三期,專業師資引導?分析演練實作招生對象全國高中生皆可以報名營隊時間2023/8/26(六)~2023/8/27(日)09:10~17:10營隊地點成功大學社會科學院北棟三樓演講廳、南棟三樓電腦教室授課講師龔俊嘉成功大學心理學系教授成功大學心智影像研究中心(NCKUMindResearchandImagingcenter)布朗大學認知科學博士、普林斯頓大學神經科學研究院博士後研究研究興趣：臉孔及物體辨識、決策神經科學、開放(神經)科學開設相關課程：認知神經科學與電影功能性磁振造影:理論與實務功能性磁振造影:進階分析,,2023-05-12T15:16:35.3350899,[],[],[],"[{'id': 133, 'branchName': 'General', 'location': ['營隊地點'], 'date': []}]","[{'trend': 0, 'tagVoteCount': 0, 'userVoted': False, 'activityAmount': 24, 'id': 9, 'text': '心理', 'type': 'area'}]",專業 師資 引導 分析 演練 實作 招生 對象 高中生 報名 營隊 時間 營隊 地點 成功 大學 社會 科學院 三樓 演講廳 三樓 電腦 教室 授課 講師 成功 大學 心理學系 教授 成功 大學 心智 影像 研究 中心 大學 認知 科學 博士 普林斯頓 大學 神經 科學 研究院 博士 研究 研究 興趣 臉孔 物體 辨識 決策 神經 科學 開放 神經 科學 開設 相關 課程 認知 神經 科學 電影 功能性 磁振 造影 理論 實務 功能性 磁振 造影 進階 分析
81a759b6-6e15-465b-4d59-08db52fbe02a,2023 成大第十二期AI人才研修班,2023 成大第十二期AI人才研修班,"課程期別：AI人才研修初階班(112/07/08週六–112/07/09週日)上課人數：上限100人。額滿為止!適用對象：全國公私立高中、高職學生。報名方式：一律線上報名報名期限：額滿截止上課時間：112/07/08週六–112/07/09週日，共二日上課地點：成功大學社會科學院北棟三樓演講廳、南棟三樓電腦教室研習費用：3,600元。(含午餐，不含住宿)◆一般生團報優惠：三人以上(含)團報可各折300元，3,300元/每人◆清寒生優惠：為鼓勵清寒、中低/低收入戶、特殊境遇家庭學生報名，主辦單位將予以補助免收該學生參加本次研修之費用。請學生將戶籍所在地之縣、市政府社會局發給之清寒、中低/低收入戶、特殊境遇家庭相關證明文件檔案在報名時上傳至證明審核區，謝謝。※備註：各項優惠不得一併使用。繳費方式：四大超商代碼繳費、線上刷卡、ATM轉帳、WebATM證書核發：參與課程時數達3/4以上，且學習態度良好者，頒發國立成功大學社會科學院參與證書。聯絡窗口：蕭老師0905-257135，洪老師0928-038860。",,2023-05-12T15:16:35.3360411,[],[],[],"[{'id': 134, 'branchName': 'General', 'location': ['上課地點：成功大學社會科學院北棟三樓演講廳、南棟三樓電腦教室'], 'date': []}]",[],課程 期別 人才 研修 初階班 週六 週日 上課 人數 額滿 為止 適用 對象 高中 高職 學生 報名 方式 線上 報名 報名 期限 額滿 截止 上課 時間 週六 週日 上課 地點 成功 大學 社會 科學院 北棟 三樓 演講廳 南棟 三樓 電腦 教室 研習 費用 午餐 住宿 團報 優惠 以上 團報 清寒生 優惠 鼓勵 清寒 中低 收入戶 特殊 境遇 家庭 學生 報名 主辦 單位 補助 學生 參加 研修 費用 學生 戶籍 所在地 市政府 社會局 發給 清寒 中低 收入戶 特殊 境遇 家庭 相關 證明 文件 檔案 報名 上傳至 證明 審核區 謝謝 備註 優惠 使用 繳費 方式 超商 代碼 繳費 線上 刷卡 轉帳 證書 核發 參與 課程 時數 3/4 以上 學習 態度 良好 頒發 成功 大學 社會 科學院 參與 證書 聯絡 窗口 老師 老師
b5331379-6197-462b-4d5a-08db52fbe02a,臺大政治營,臺大政治營,【何謂模擬選戰】｜總統、國會選戰的精華版｜臺大政治營模擬選戰的設計理念是以「選舉」為主軸的大型RPG遊戲，五天營期是由真實總統、國會、公投案選舉的精要濃縮版。經由政策與公投案擬定、遊說政治系學長姐扮演的NPC、政見發表、造勢、跨隊結盟等手段模擬政壇生態，最終目標是獲得選舉勝利！｜選擇你的角色｜本次，大政奉還在小隊配置上可分為三個政黨小隊與九個利益團體小隊。不論你屬於捍衛自身信念、推動公投案的利團，抑或是想取得執政權、改變政治現狀的政黨，每個小隊中的每個人都能在這裡發揮影響力、憑藉謀略與膽識獲得一席之地！｜最豐富的營隊體驗｜激烈的模擬選戰中，你會親身參與臺灣政治文化常見的綁樁結盟、政論節目、造勢晚會等精彩活動；無論你是政黨或利團小隊，都能發布媒體新聞宣傳自身理念；官方亦有媒體播報即時新聞、擔任公正第四權的角色；地方勢力、富商權貴、勞動階級亦為小隊員需倚靠或謹惕的對象，他們對選舉的走向具有極大的影響力！課程安排上，不僅有學術顧問針對各小隊主題的專題演講，更會邀集臺灣政壇的「重量級」講者對學員們進行主題式演講，使小隊員在課程中對議題與公共事務獲得更多的理解與共鳴、甚至成為進一步探討政治的動機！【適合每一個人的營隊】即使讀政治系不在你的人生規劃內、你亦無參政的雄心壯志，在這裡，你仍舊能夠體驗到系統性表達自己意見、說服他人的快樂，以及磋商結盟的技巧。臺大政治營能夠提供每一位勇敢的你一個親近政治的機會、一個發揮自己長才的場域、與一場挑戰自我極限的冒險！看完精美的懶人包與詳細的解說，相信國三到高三的你們對於2023臺大政治營已經有了初步的認識！未來我們也會逐步公開更詳細的活動細節，請大家持續關注我們的社群專頁！熱烈歡迎各位參與政治營，再把營隊資訊推廣給你身邊每一個親朋好友！對政治營懷抱憧憬的各位，請不要再猶豫，馬上報名下去吧！,,2023-05-12T15:16:35.3360799,[],[],[],"[{'id': 135, 'branchName': 'General', 'location': [], 'date': []}]","[{'trend': 0, 'tagVoteCount': 0, 'userVoted': False, 'activityAmount': 11, 'id': 13, 'text': '政治', 'type': 'area'}]",何謂 模擬 選戰 總統 國會 選戰 精華版 臺大 政治營 模擬 選戰 設計 理念 選舉 主軸 遊戲 營期 真實 總統 國會 公投案 選舉 精要 濃縮版 政策 公投案 擬定 遊說 政治 學長姐 扮演 NPC 政見 發表 造勢 跨隊 結盟 手段 模擬 政壇 生態 目標 獲得 選舉 勝利 選擇 角色 大政 奉還 小隊 配置 分為 政黨 小隊 利益 團體 屬於 捍衛 信念 推動 公投案 利團 取得 執政權 改變 政治 現狀 政黨 這裡 發揮 影響力 憑藉 謀略 膽識 獲得 一席之地 豐富 營隊 體驗 激烈 模擬 選戰 參與 臺灣 政治 文化 常見 綁樁 結盟 政論 節目 造勢 晚會 精彩 活動 政黨 利團 發布 媒體 新聞 宣傳 理念 官方 媒體 播報 即時 新聞 擔任 公正 角色 地方 勢力 富商 權貴 勞動 階級 小隊員 倚靠 謹惕 對象 選舉 走向 具有 影響力 課程 安排 學術 顧問 小隊 主題 專題 演講 邀集 臺灣 政壇 重量級 講者 學員 進行 主題式 演講 隊員 課程 議題 事務 獲得 更多 理解 共鳴 成為 探討 政治 動機 適合 政治系 人生 規劃 參政 雄心壯志 這裡 體驗到 系統性 表達 意見 說服 快樂 磋商 結盟 技巧 臺大 政治營 提供 勇敢 親近 政治 機會 發揮 長才 場域 挑戰 極限 冒險 看完 精美 懶人包 詳細 解說 相信 國三 高三 臺大 政治營 認識 未來 公開 詳細 活動 細節 持續 關注 社群 專頁 熱烈 歡迎 參與 政治營 營隊 資訊 推廣 身邊 親朋好友 政治營 懷抱 憧憬 各位 猶豫 名下
2668c627-d2d2-4d24-4d5b-08db52fbe02a,2023中正大學勞工營,2023中正大學勞工營,中正大學是全台唯一擁有勞工系的國立大學。為了讓更多人知道勞工系，也更加了解這個系所學，並且能針對高中生的大學科系選擇與初步生涯規劃，提供一個輕鬆體驗的學習管道，我們決定舉辦2023中正大學勞工營。同時也希望透過勞工營讓高中生先認識大學，探究摸索並確立自已的興趣，讓他們能找尋自己未來真正的目標！活動名稱｜2023中正大學勞工營參加對象｜全國各高中職學生活動時間｜2023/7/6-2023/7/10活動地點｜國立中正大學獨報費用｜5300元團報費用｜三人以上（含）：4700元/人報名時間｜2023/03/27-5/14截止,,2023-05-12T15:16:35.3360851,[],[],[],"[{'id': 136, 'branchName': 'General', 'location': ['活動地點｜國立中正大學'], 'date': []}]",[],大學 擁有 勞工系 大學 更多 知道 勞工系 了解 高中生 大學 科系 選擇 生涯 規劃 提供 輕鬆 體驗 學習 管道 決定 舉辦 大學 勞工營 同時 希望 勞工營 高中生 認識 大學 探究 摸索 確立 興趣 找尋 未來 目標 活動 名稱 大學 勞工營 參加 對象 高中職 學生 活動 時間 活動 地點 大學 報費用 報費 以上 報名 時間 截止
3a1fb212-84a6-499b-4d5c-08db52fbe02a,2023 夏令營: 卓越領袖探索體驗系列營隊,2023 夏令營: 卓越領袖探索體驗系列營隊,????2023夏令營報名開始!!????5大營隊，場場都是精心安排規劃，內容充實豐富，讓你/妳2023年就有超棒的開始!透過營隊活動，達到探索並發掘自我專長與興趣，藉此激發學生的學習動機並幫助他們適性發展與多元自主學習並進而豐富個人學習歷程檔案，為備審資料加分。在面臨大學科系選擇時更能夠目標清楚，志向明確。營隊介紹:卓越領袖探索營以符合108課綱核心素養的精神，發展設計以下主題營隊:心理探索營(2023/07/28~2023/07/30):透過專業心理師分享、授課與活動體驗，了解心理學3大領域，體現身心素質與自我精進。高中企管營(2023/08/04~2023/08/06)：增進對企業管理的認識與體驗，藉由營隊獲得探索並發覺自我專長興趣。Python程式設計營(2023/08/11~2023/08/13):透過Python直覺式設計、容易上手的特性，讓學員體驗Coding的樂趣，從電腦遊戲的開發引發學習興趣，並強化邏輯概念、資料統整、問題解決等能力。AI人工智慧營(2023/08/18~2023/08/20):採用一人一機電腦實作的方式，讓學員瞭解AI的基礎知識和應用領域，掌握AI的最新技術和趨勢，並培養108課綱中「資料分析與應用」、「數位學習環境應用」等教育科技相關的核心素養。口語表達溝通營(2023/08/25~2023/08/27)：『做中學（LearningByDoing）』為理念，透過講解、示範、訓練和不斷的演練，克服公開發言的恐懼。營隊效益:全程參與營期結束後，頒發主辦單位之結業證書各營隊的詳細介紹與說明，請參考官網:https://www.17learn.com.tw適合對象:全國公私立國中、高中、高職生報名期限:即日起至額滿為止主辦單位:中華民國應用商業管理協會協辦單位:逗陣學習網、晴佳國際有限公司粉絲專頁:http://www.facebook.com/17learn詳情請洽:02-6617-6779(上班時間:週一至週五09:30~17:30),,2023-05-12T15:16:35.3360896,[],[],[],"[{'id': 137, 'branchName': 'General', 'location': [], 'date': [{'name': '報名日期', 'start': '自即日起', 'end': None}]}]","[{'trend': 0, 'tagVoteCount': 0, 'userVoted': False, 'activityAmount': 65, 'id': 4, 'text': '教育', 'type': 'area'}, {'trend': 0, 'tagVoteCount': 0, 'userVoted': False, 'activityAmount': 24, 'id': 9, 'text': '心理', 'type': 'area'}]",夏令營 報名 開始 營隊 場場 精心 安排 規劃 內容 充實 豐富 超棒 開始 營隊 活動 達到 探索 發掘 專長 興趣 激發 學生 學習 動機 幫助 適性 發展 多元 自主 學習 豐富 學習 歷程 檔案 備審 資料 加分 面臨 大學 科系 選擇 目標 清楚 志向 明確 營隊 介紹 卓越 領袖 探索營 符合 課綱 核心 素養 精神 發展 設計 以下 主題 營隊 心理 探索 專業 心理師 分享 授課 活動 體驗 了解 心理學 領域 體現 身心 素質 精進 高中 企管營 增進 企業 管理 認識 體驗 營隊 獲得 探索 發覺 專長 興趣 程式 設計 直覺式 設計 容易 上手 特性 學員 體驗 樂趣 電腦 遊戲 開發 引發 學習 興趣 強化 邏輯 概念 資料 統整 問題 解決 能力 人工 智慧 採用 電腦 實作 方式 學員 瞭解 基礎 知識 應用 領域 掌握 技術 趨勢 課綱 資料 分析 應用 學習 環境 應用 教育 科技 相關 核心 素養 口語 表達 溝通營 中學 理念 講解 示範 訓練 演練 克服 公開 發言 恐懼 營隊 效益 參與 營期 結束 頒發 主辦 單位 結業 證書 營隊 詳細 介紹 說明 參考 官網 適合 對象 國中 高中 高職生 報名 期限 即日 額滿 為止 主辦 單位 中華民國 應用 商業 管理 協會 協辦 單位 逗陣 學習網 國際 有限公司 粉絲 專頁 詳情 上班 時間 週一 週五
a3cedaa1-2915-4d25-4d5d-08db52fbe02a,2023陽明交通大學管科卓越營,2023陽明交通大學管科卓越營,對於未來#感到迷茫嗎？從眾多科系擇其優感到無所適從嗎？想要成為文理皆通的多邊形戰士嗎？暑假的漫漫時間該怎麼有效利用呢？????????來管科卓越營就對了！??????我們有考驗#團隊合作的大地遊戲??#體驗感滿分的RPG遊戲??#精彩燒腦的密室挑戰??#爭鋒相對的辯論大賽??以及讓大家#收穫滿滿的企業參訪??有任何問題歡迎聯繫粉專??活動內容以粉專公布為主別猶豫，立即手刀報名，加入我們的大家庭吧????報名連結｜https://forms.gle/LXqT7iArbkG3S5qH7????2023陽明交通大學管科卓越營??????主辦單位｜國立陽明交通大學管理科學系學生??報名資格｜全國公私立高中職學生（包含暑假升高一學生）???活動日期｜2023/07/02(日)-2023/07/05(三)???報名資訊｜報名期間2023/03/27(一)-2023/06/02(五）???最終確定名單公佈：2023/06/09(五）??活動費用|新台幣5800元整??交大日優惠|新台幣5500元整??僅適用於交大日至管科的攤位填寫表單的同學??聯絡信箱｜nycums.2023@gmail.com??Facebook|?2023陽明交通大學管科卓越營https://www.facebook.com/profile.php?id=100089839510052&mibextid=LQQJ4d??Instagram|ms_ying2023https://instagram.com/ms_ying2023?igshid=YmMyMTA2M2Y=,,2023-05-12T15:16:35.3363492,[],[],[],"[{'id': 138, 'branchName': 'General', 'location': [], 'date': [{'name': '活動日期', 'start': '2023-07-02', 'end': '2023-07-05'}]}]",[],未來 感到 迷茫 眾多 科系 優感 無所適從 想要 成為 文理 多邊形 戰士 暑假 漫漫 時間 有效 利用 管科 卓越營 對了 考驗 團隊 合作 大地 遊戲 體驗 滿分 遊戲 精彩 燒腦 密室 挑戰 爭鋒 相對 辯論 大賽 收穫 滿滿 企業 參訪 任何 問題 歡迎 聯繫 粉專 活動 內容 粉專 公布 主別 猶豫 手刀 報名 加入 大家庭 報名 連結 交通 大學 管科 卓越營 主辦 單位 交通 大學 管理 科學 學生 報名 資格 全國 高中職 學生 包含 暑假 升高 學生 活動 日期 報名 資訊 報名 期間 確定 名單 公佈 活動 費用 新台幣 交大日 優惠 新台幣 適用 交大日 管科 攤位 填寫 表單 同學 聯絡 信箱 交通 大學 管科 卓越營
ba3538b0-32df-4976-4d5e-08db52fbe02a,AI4kids- 2023 暑假青少年海生專題實作營,AI4kids- 2023 暑假青少年海生專題實作營,與國立中山大學資工系黃英哲教授合作，將深入剖析AI在海洋生物保育的應用實例，透過課程講座、實地參訪小琉球潮間帶，使學員迅速入門AI領域、體驗深度學習實作、構建自己的AI專案，課程尾聲同學也將參與黑客松競賽，上台與AI領域專家分享專題成果！場域體驗參訪小琉球潮間帶，由海洋生物專家說明如何將智慧監控系統導入生物偵測，並有效管理觀光勝地的潮間帶生態，讓經濟與海生保育達成平衡。中山大學教授、AI專家講師由頂尖大學教授團隊與AI專家帶領，讓你4天內搞懂機器學習與深度學習的基本概念與技術，掌握最新AI海洋生物專題如智慧海生偵測、智慧養蝦、智慧養文蛤、智慧養鱉等研究與應用。黑客松競賽成果展現透過專家出題，學員解題，讓小組學員發揮創意力、邏輯力以及團隊合作力，共同討論與協作，完成專題的競賽成果。營隊招生對象15-19歲青少年(國三至大一學生)營隊時間2023/7/29(六)-2023/8/1(二)9:00~17:00營隊地點中山大學(營隊含4日中餐，不包含住宿),,2023-05-12T15:16:35.3363553,[],[],[],"[{'id': 139, 'branchName': 'General', 'location': ['營隊地點'], 'date': []}]","[{'trend': 0, 'tagVoteCount': 0, 'userVoted': False, 'activityAmount': 25, 'id': 10, 'text': '經濟', 'type': 'area'}, {'trend': 0, 'tagVoteCount': 0, 'userVoted': False, 'activityAmount': 18, 'id': 11, 'text': '生物', 'type': 'area'}]",大學 資工系 教授 合作 深入 剖析 海洋 生物 保育 應用 實例 課程 講座 參訪 小琉球 潮間帶 學員 迅速 入門 領域 體驗 深度 學習 實作 構建 專案 課程 尾聲 同學 參與 競賽 上台 領域 專家 分享 專題 成果 場域 體驗 參訪 小琉球 潮間帶 海洋 生物 專家 說明 智慧 監控 系統 導入 生物 偵測 有效 管理 觀光 勝地 潮間帶 生態 經濟 海生 保育 達成 平衡 大學 教授 專家 講師 頂尖 大學 教授 團隊 專家 帶領 搞懂 機器 學習 深度 學習 概念 技術 掌握 海洋 生物 專題 智慧 海生 偵測 智慧 智慧 文蛤 智慧 研究 應用 競賽 成果 展現 專家 出題 學員 解題 小組 學員 發揮 創意力 邏輯力 團隊 合作力 討論 協作 完成 專題 競賽 成果 營隊 招生 對象 青少年 國三 大一 學生 營隊 時間 營隊 地點 大學 營隊 中餐 包含 住宿
cfb21724-2061-4bbb-4d5f-08db52fbe02a,運動專業技能人才培訓營 『向下紮根計畫』,運動專業技能人才培訓營 『向下紮根計畫』,開課日期:2023-08-19、20主辦單位:社團法人台灣運動保健協會講師:王金盛、蔡定剛、蔡淮舜、沈佩赬上課地點:OptimumKinetics總部(台北市南港區南港路二段147號4F昆陽站4號出口，步行約12分鐘)費用:NT7000元*費用均含講義、衣服、中餐、按摩球、花生球、超級彈力帶、貼布、證書、團體保險*費用不含住宿??簡章連結：http://tatha.org/class.php??報名表連結：http://tatha.org/ins.php?ic=12??家長同意書連結：https://bit.ly/2023tathacamp_consent??團體報名方式連結：http://tatha.org/detailnews.php?id=28,,2023-05-12T15:16:35.3363614,[],[],[],"[{'id': 140, 'branchName': 'General', 'location': ['上課地點:OptimumKinetics總部(台北市南港區南港路二段147號4F昆陽站4號出口，步行約12分鐘)'], 'date': []}]","[{'trend': 0, 'tagVoteCount': 0, 'userVoted': False, 'activityAmount': 15, 'id': 6, 'text': '運動', 'type': 'area'}]",開課 日期 主辦 單位 社團 法人 台灣 運動 保健 協會 講師 上課 地點 總部 台北市 南港區 南港路 二段 147號 昆陽站 4號 出口 步行 分鐘 費用 費用 講義 衣服 中餐 按摩球 花生球 彈力帶 貼布 證書 團體 保險 費用 住宿 簡章 連結 報名表 連結 家長 同意書 連結 團體 報名 方式 連結
